video_id,final_classification,features,username,description,music_id
7287897703982402818,Unaffiliated,,hebron.palestine1,#فلسطيني🇵🇸وافتخر #تيم_عوده_فلسطين #احرار_احرار_والعالم_يشهد ,7081030468476340226
7287933329540730113,Unaffiliated,,hebron.palestine1,#CapCut #فلسطيني🇵🇸وافتخر #تيم_عوده_فلسطين #فلسطين ,7285118323124079366
7288824702485744897,Unaffiliated,,lavihalayqa,,7288824792353491713
7289013836911217921,Unaffiliated,,yousefzaatre1,#شهيد #لقدس_لنا🇵🇸🕌والارض_لنا⚔️ #الأقصى_في_قلوبنا❤🇵🇸  ,7085587579424344833
7289220894965222674,Unaffiliated,,awwwa57,,7289220956353628929
7289694645255212295,Unaffiliated,,ahmad7kl,,7038662802093001474
7290189496363060498,Unaffiliated,,osamaa_sh1,#CapCut #طوفان #معركة_طوفآن_الاقصى #فلسطين🇵🇸 #CapCutVelocity #شد_يا_مهدي #شد_ياوحش😂 #اكسبلورexplore #اكسبلورexplore #اريحا_الخليل_بيت_لحم_يافا_حيفا_عكا✌ #اريحا_الخليل_بيت_لحم_يافا_حيفا_عكا✌ ,7242349404886207233
7290275612202110240,Unaffiliated,,jamnazzal,Keiner unterstützt Angrifskriege#palästina #Gaza #nahostkonflikt ,7290275622931204897
7290621686465056002,Unaffiliated,,serinmanasra,#arab#فلسطين#fyp ,7290621735828441858
7290665209499290888,Unaffiliated,,awwwa57,,7290665282661042945
7291018960827436290,Unaffiliated,,hebron.palestine1,#حسبنا_الله_ونعم_الوكيل☝️🤲 ,7291019014913297153
7291034915062254866,Unaffiliated,,awwwa57,,7291034945018268417
7291162612073499912,Unaffiliated,,ahmad7kl,#فلسطين🇵🇸 #غزة ,7291162634970270465
7291307405512690976,Unaffiliated,,jamnazzal,#فلسطين#القدس#غزه#foryou #for #viral ,7291307455496555297
7291547172435135762,Unaffiliated,,ahmad7kl,#الله اكبر,7291547199647976194
7291983526205869314,Unaffiliated,,zaid_shayeb,#CapCut @Anwar haj  الاصيل🖤,7268997273122573058
7292024549200104722,Fatah,Other,yusif_jaber,#CapCut #طوباس #CapCut #الجامعة_العربية_الامريكية #fyp #foryou #لايك #اكسبلور #جنين #الشعب_الصيني_ماله_حل😂😂 #مخيم_جنين_اسم_لن_يكرره_التاريخ💪 #الشبيبة_الفتحاوية ,7203304429578291969
7292034558529244424,Unaffiliated,,awwwa57,,7292034587306904321
7292309361035201794,Unaffiliated,,majdi.suliman,#bethlahem #تهريـب #الشعب_الصيني_ماله_حل😂😂 #الهجرة_الى_اوروبا🇪🇺 #التعامرة #محطة_تل_الربيع_تقوع #ريبكون3600 #بيجيرو_4×4 ,6955536822638234369
7292452776490077447,Unaffiliated,,awwwa57,,7292452818215783169
7292536160209931552,Unaffiliated,,jamnazzal,Düsseldorf Palästina Demo 21. Oktober 2023#palästina #nahostkonflikt #Gaza #jamal #palästina #,7292536196700392225
7293151417970298113,Unaffiliated,,yousefzaatre1,#شهيد #لقدس_لنا🇵🇸🕌والارض_لنا⚔️ #الأقصى_في_قلوبنا❤🇵🇸  ,7289891324021492482
7293228000554798338,Unaffiliated,,lavihalayqa,,7293228052341852930
7293556848555248929,Unaffiliated,,jamnazzal,Palästina Demo in Düsseldorf#palästina #Gaza #nahostkonflikt #palestineفلسطين #jamal nazzal#جمال نزال#,7293556865488243488
7293649190356372768,Unaffiliated,,jamnazzal,لماذا تصور اسرائيل المواجهة كحرب اسلامية ضد الغرب؟#جمال نزال#Gaza #palästina #فلسطين#غزة#فلسطين_لبنان_سوريا_اليمن_مورتانيا #israel #فتح,7293649232601434913
7293671531677371681,Unaffiliated,,jamnazzal,"#duet with @Sofiya💗 es gibt so viele jüdische Stimmen für Gerechtigkeit und Frieden in Palästina. Es wäre falsch anzunehmen, dass Israel die Unterstützung aller Juden hat. Die Sache Palästinas hat sehr viele jüdische Freunde, die die Wahrheit kennen und sagen.##palästina##Gaza##nahostkonflikt",7290651389892627233
7294300893095251201,Unaffiliated,,a92a_a,عيش أيامك بطريقتك الخاصة واختار ما يُلائم روحك دائماً... #fyp #foryou #SHEINeidfun ,7279180906831612674
7294885854777003271,Unaffiliated,,ahmad7kl,#اليمام#علي ,7294885877984037633
7295089645388418311,Unaffiliated,,ahmadghannam183,#CapCut #สปีดสโลว์ #สโลว์สมูท #جبعاوي🔱🥷🏿 ,7295089681849502466
7295431006960618760,Unaffiliated,,ahmad7kl,#ابو#عبيدة,7295431030184397570
7295726737005104392,Unaffiliated,,ahmadghannam183,#CapCut #สปีดสโลว์ #สโลว์สมูท #جبعاوي🔱🥷🏿 ,7295726761038383873
7295822247795723522,Fatah,Images of leaders,aboammar519,#CapCut ,7269833105379412742
7296025879468248321,Unaffiliated,,lavihalayqa,,7296025926701075201
7296228327554157825,Unaffiliated,,zanisa.style,💔🙏🙏 free free Palestine 🇵🇸🇵🇸,7088063351795895041
7296402650147425543,Unaffiliated,,ahmad7kl,#الله#اكبر_ ,7296402677590739714
7296453393814506754,Unaffiliated,,yousefzaatre1,#لقدس_لنا🇵🇸🕌والارض_لنا⚔️ #الأقصى_في_قلوبنا❤🇵🇸 ,7275731969239976737
7296465594612714753,Unaffiliated,,aboammar519,#CapCut ,7162168656384772866
7296614705882303746,Unaffiliated,,tulkarm2011,#CapCut ,7290202907718568710
